pick_id,game_date,player,team,opponent,stat,line,direction,probability,tier,actual_value,outcome,added_utc,league,source
,,Matas Buzelis,,,3pm,1.5,higher,67.7,,,,,nba,
,,Marcus Smart,,,points,9.5,higher,,,,,,nba,
,,Amen Thompson,,,pts+ast,23.5,lower,,,,,,nba,
,,Rudy Gobert,,,rebounds,11.5,lower,41.3,,,,,nba,
,,Alperen Sengun,,,pts+ast,25.5,lower,,,,,,nba,
,,Domantas Sabonis,,,pts+reb+ast,31.5,lower,,,,,,nba,
,,Kyle Kuzma,,,rebounds,5.5,lower,,,,,,nba,
,,Ryan Rollins,,,pts+reb+ast,32.5,lower,,,,,,nba,
,,Jeremiah Fears,,,rebounds,2.5,higher,65.1,,,,,nba,
,,Aaron Wiggins,,,rebounds,3.5,higher,,,,,,nba,
,,Jaden Ivey,,,3pm,1.5,higher,,,,,,nba,
,,Kelly Oubre Jr.,,,rebounds,5.5,lower,,,,,,nba,
,,Bobby Portis,,,rebounds,8.5,lower,,,,,,nba,
,,Tobias Harris,,,3pm,1.5,higher,,,,,,nba,
,,Duncan Robinson,,,3pm,2.5,higher,,,,,,nba,
,,Isaiah Collier,,,points,13.5,lower,,,,,,nba,
,,Isaiah Stewart,,,points,7.5,lower,,,,,,nba,
,,Jonas Valanciunas,,,points,12.5,lower,,,,,,nba,
,,Kyle Filipowski,,,pts+ast,15.5,lower,,,,,,nba,
,,Kris Dunn,,,pts+ast,9.5,lower,,,,,,nba,
,,Lauri Markkanen,,,pts+ast,25.5,higher,42.4,,,,,nba,
,,Jonas Valanciunas,,,ast+reb,10.5,lower,,,,,,nba,
20260129_ayo_dosunmu_3pm_under,2026-01-29,Ayo Dosunmu,,,3PM,1.5,UNDER,0.55,USER,2,MISS,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_coby_white_3pm_under,2026-01-29,Coby White,,,3PM,2.5,UNDER,0.55,USER,5,MISS,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_cody_williams_3pm_under,2026-01-29,Cody Williams,,,3PM,0.5,UNDER,0.55,USER,0,HIT,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_alperen_sengun_pra_under,2026-01-29,Alperen Sengun,,,PRA,34.5,UNDER,0.55,USER,25,HIT,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_cade_cunningham_pra_under,2026-01-29,Cade Cunningham,,,PRA,38.5,UNDER,53.7,USER,21,HIT,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_jaden_ivey_pra_under,2026-01-29,Jaden Ivey,,,PRA,12.5,UNDER,0.55,USER,11,HIT,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_evan_mobley_pra_under,2026-01-29,Evan Mobley,,,PRA,31.5,UNDER,0.55,USER,49,MISS,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_precious_achiuwa_pra_under,2026-01-29,Precious Achiuwa,,,PRA,13.5,UNDER,0.55,USER,14,MISS,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_zach_lavine_pra_under,2026-01-29,Zach LaVine,,,PRA,23.5,UNDER,56.0,USER,10,HIT,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_ausar_thompson_reb_over,2026-01-29,Ausar Thompson,,,REB,5.5,OVER,0.55,USER,5,MISS,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_domantas_sabonis_blk_stl_over,2026-01-29,Domantas Sabonis,,,BLK+STL,1.5,OVER,0.55,USER,2,HIT,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_duncan_robinson_pra_over,2026-01-29,Duncan Robinson,,,PRA,16.5,OVER,0.55,USER,14,MISS,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_malik_monk_3pm_over,2026-01-29,Malik Monk,,,3PM,2.5,OVER,0.55,USER,3,HIT,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_derik_queen_ast_over,2026-01-29,Derik Queen,,,AST,4.5,OVER,0.55,USER,1,MISS,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_jeremiah_fears_reb_over,2026-01-29,Jeremiah Fears,,,REB,2.5,OVER,0.55,USER,3,HIT,2026-01-30T03:31:49.698523,NBA,user_results_jan28-29
20260129_julian_champagnie_pts_over,2026-01-29,Julian Champagnie,,,PTS,11.0,OVER,0.55,USER,13,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_saddiq_bey_reb_over,2026-01-29,Saddiq Bey,,,REB,3.5,OVER,0.55,USER,10,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_zion_williamson_ast_over,2026-01-29,Zion Williamson,,,AST,2.5,OVER,0.55,USER,4,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_jaden_mcdaniels_pra_over,2026-01-29,Jaden McDaniels,,,PRA,25.5,OVER,0.55,USER,7,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_kyren_williams_recs_over,2026-01-29,Kyren Williams,,,Recs,2.5,OVER,0.55,USER,2,MISS,2026-01-30T03:31:49.699550,NFL,user_results_jan28-29
20260129_matthew_stafford_rush yards_over,2026-01-29,Matthew Stafford,,,Rush Yards,0.5,OVER,0.55,USER,16,HIT,2026-01-30T03:31:49.699550,NFL,user_results_jan28-29
20260129_tyler_higbee_rec yards_over,2026-01-29,Tyler Higbee,,,Rec Yards,19.5,OVER,0.55,USER,12,MISS,2026-01-30T03:31:49.699550,NFL,user_results_jan28-29
20260129_scottie_barnes_2-pt att_over,2026-01-29,Scottie Barnes,,,2-PT Att,12.5,OVER,0.55,USER,6,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_kayshon_boutte_rec yards_over,2026-01-29,Kayshon Boutte,,,Rec Yards,31.5,OVER,0.55,USER,6,MISS,2026-01-30T03:31:49.699550,NFL,user_results_jan28-29
20260129_rj_harvey_rush yards_over,2026-01-29,RJ Harvey,,,Rush Yards,40.5,OVER,0.55,USER,37,MISS,2026-01-30T03:31:49.699550,NFL,user_results_jan28-29
20260129_ausar_thompson_pra_over,2026-01-29,Ausar Thompson,,,PRA,20.5,OVER,0.55,USER,16,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_demar_derozan_pts_ast_over,2026-01-29,DeMar DeRozan,,,PTS+AST,24.5,OVER,0.55,USER,20,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_domantas_sabonis_pra_over,2026-01-29,Domantas Sabonis,,,PRA,33.5,OVER,0.55,USER,27,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_tobias_harris_pra_over,2026-01-29,Tobias Harris,,,PRA,21.5,OVER,0.55,USER,21,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_cooper_kupp_recs_under,2026-01-29,Cooper Kupp,,,Recs,3.0,UNDER,0.55,USER,4,MISS,2026-01-30T03:31:49.699550,NFL,user_results_jan28-29
20260129_blake_corum_rec yards_over,2026-01-29,Blake Corum,,,Rec Yards,0.5,OVER,0.55,USER,24,HIT,2026-01-30T03:31:49.699550,NFL,user_results_jan28-29
20260129_colby_parkinson_recs_over,2026-01-29,Colby Parkinson,,,Recs,1.5,OVER,0.55,USER,3,HIT,2026-01-30T03:31:49.699550,NFL,user_results_jan28-29
20260129_terrance_ferguson_recs_over,2026-01-29,Terrance Ferguson,,,Recs,0.5,OVER,0.55,USER,0,MISS,2026-01-30T03:31:49.699550,NFL,user_results_jan28-29
20260129_dylan_harper_pts_over,2026-01-29,Dylan Harper,,,PTS,11.5,OVER,0.55,USER,5,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_dylan_harper_reb_over,2026-01-29,Dylan Harper,,,REB,3.5,OVER,0.55,USER,6,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_harrison_barnes_2-pt made_over,2026-01-29,Harrison Barnes,,,2-PT Made,1.5,OVER,0.55,USER,0,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_luke_kornet_pts_ast_over,2026-01-29,Luke Kornet,,,PTS+AST,9.5,OVER,0.55,USER,6,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_victor_wembanyama_3pm_over,2026-01-29,Victor Wembanyama,,,3PM,2.5,OVER,0.55,USER,2,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_yves_missi_fg made_over,2026-01-29,Yves Missi,,,FG Made,2.5,OVER,0.55,USER,4,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_dailyn_swain_pts_under,2026-01-29,Dailyn Swain,,,PTS,14.5,UNDER,0.55,USER,29,MISS,2026-01-30T03:31:49.699550,CBB,user_results_jan28-29
20260129_otega_oweh_pts_under,2026-01-29,Otega Oweh,,,PTS,17.5,UNDER,0.55,USER,18,MISS,2026-01-30T03:31:49.699550,CBB,user_results_jan28-29
20260129_tramon_mark_pts_under,2026-01-29,Tramon Mark,,,PTS,14.5,UNDER,0.55,USER,12,HIT,2026-01-30T03:31:49.699550,CBB,user_results_jan28-29
20260129_cayden_vasko_reb_under,2026-01-29,Cayden Vasko,,,REB,4.5,UNDER,0.55,USER,2,HIT,2026-01-30T03:31:49.699550,CBB,user_results_jan28-29
20260129_dylan_faulkner_reb_under,2026-01-29,Dylan Faulkner,,,REB,7.5,UNDER,0.55,USER,4,HIT,2026-01-30T03:31:49.699550,CBB,user_results_jan28-29
20260129_kahmare_holmes_reb_over,2026-01-29,Kahmare Holmes,,,REB,5.5,OVER,0.55,USER,4,MISS,2026-01-30T03:31:49.699550,CBB,user_results_jan28-29
20260129_nils_machowski_reb_over,2026-01-29,Nils Machowski,,,REB,4.5,OVER,0.55,USER,4,MISS,2026-01-30T03:31:49.699550,CBB,user_results_jan28-29
20260129_madison_keys_total games_over,2026-01-29,Madison Keys,,,Total Games,20.5,OVER,0.55,USER,19,MISS,2026-01-30T03:31:49.699550,Tennis,user_results_jan28-29
20260129_paula_badosa_aces_over,2026-01-29,Paula Badosa,,,Aces,3.5,OVER,0.55,USER,4,HIT,2026-01-30T03:31:49.699550,Tennis,user_results_jan28-29
20260129_amen_thompson_pra_over,2026-01-29,Amen Thompson,,,PRA,24.5,OVER,0.55,USER,32,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_clint_capela_pra_under,2026-01-29,Clint Capela,,,PRA,8.5,UNDER,0.55,USER,8,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_deaaron_fox_ast_over,2026-01-29,De'Aaron Fox,,,AST,3.5,OVER,0.55,USER,5,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_kevin_durant_pts_over,2026-01-29,Kevin Durant,,,PTS,24.5,OVER,0.55,USER,18,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_tari_eason_pra_over,2026-01-29,Tari Eason,,,PRA,15.5,OVER,0.55,USER,13,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_anfernee_simons_pts_over,2026-01-29,Anfernee Simons,,,PTS,13.5,OVER,0.55,USER,9,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_jaylen_brown_pts_over,2026-01-29,Jaylen Brown,,,PTS,24.5,OVER,0.55,USER,30,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_neemias_queta_pts_over,2026-01-29,Neemias Queta,,,PTS,8.5,OVER,0.55,USER,17,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_cj_mccollum_pts_over,2026-01-29,CJ McCollum,,,PTS,16.5,OVER,0.55,USER,15,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_ausar_thompson_pts_under,2026-01-29,Ausar Thompson,,,PTS,10.5,UNDER,0.55,USER,12,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_yves_missi_pts_over,2026-01-29,Yves Missi,,,PTS,4.5,OVER,0.55,USER,4,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_aj_green_3pm_over,2026-01-29,AJ Green,,,3PM,1.5,OVER,55.9,USER,6,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_corey_kispert_3pm_over,2026-01-29,Corey Kispert,,,3PM,0.5,OVER,0.55,USER,0,MISS,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_kyle_kuzma_3pm_over,2026-01-29,Kyle Kuzma,,,3PM,0.5,OVER,11.6,USER,1,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_bobby_portis_pts_over,2026-01-29,Bobby Portis,,,PTS,11.5,OVER,0.55,USER,19,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_cj_mccollum_3pm_over,2026-01-29,CJ McCollum,,,3PM,1.5,OVER,0.55,USER,2,HIT,2026-01-30T03:31:49.699550,NBA,user_results_jan28-29
20260129_duncan_robinson_pts_over,2026-01-29,Duncan Robinson,,,PTS,10.5,OVER,0.55,USER,15,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260129_bam_adebayo_ast_over,2026-01-29,Bam Adebayo,,,AST,3.5,OVER,0.55,USER,3,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
